"cell_type","sex","age","count","percentage"
"Adipocyte","Female","41-50","1721","28.731219"
"Endothelial cell","Female","41-50","737","12.30384"
"Epithelial cell","Female","41-50","2292","38.263773"
"Fibroblast","Female","41-50","804","13.422371"
"Immune (myeloid)","Female","41-50","301","5.025042"
"Muscle","Female","41-50","135","2.253756"
