"cell_type","sex","age","count","percentage"
"Adipocyte","Female","21-40","40","1.72117"
"Endothelial cell","Female","21-40","54","2.32358"
"Epithelial cell","Female","21-40","2180","93.803787"
"Fibroblast","Female","21-40","12","0.516351"
"Immune (myeloid)","Female","21-40","34","1.462995"
"Muscle","Female","21-40","4","0.172117"
