"cell_type","sex","age","count","percentage"
"Adipocyte","Male","21-40","3","0.027488"
"Endothelial cell","Male","21-40","1578","14.458494"
"Fibroblast","Male","21-40","2412","22.100055"
"Glia","Male","21-40","503","4.608759"
"Immune (lymphocyte)","Male","21-40","141","1.291919"
"Immune (myeloid)","Male","21-40","788","7.220084"
"Muscle","Male","21-40","5485","50.256551"
"Neuron","Male","21-40","4","0.03665"
