"cell_type","sex","age","count","percentage"
"Adipocyte","Female","61-70","3","0.032314"
"Endothelial cell","Female","61-70","1037","11.169754"
"Fibroblast","Female","61-70","2935","31.613529"
"Glia","Female","61-70","269","2.897458"
"Immune (lymphocyte)","Female","61-70","82","0.88324"
"Immune (myeloid)","Female","61-70","980","10.555795"
"Muscle","Female","61-70","3964","42.697113"
"Neuron","Female","61-70","14","0.150797"
