"cell_type","sex","age","count","percentage"
"Endothelial cell","Female","51-60","1575","18.767874"
"Epithelial cell","Female","51-60","3569","42.528599"
"Fibroblast","Female","51-60","1017","12.118684"
"Glia","Female","51-60","28","0.333651"
"Immune (lymphocyte)","Female","51-60","908","10.819828"
"Immune (myeloid)","Female","51-60","749","8.925167"
"Muscle","Female","51-60","238","2.836034"
"Stromal","Female","51-60","308","3.670162"
