,dataset_name,dataset_id,tissue,tissue_ontology_term_id,sex,donor_id,development_stage,ethnicity,cell_type_ontology_id,cell_type,cell_count
84292,All — Cells of the adult human heart,dd2f4658-d6e1-4d8a-a5f3-b9efed1bd1ca,left cardiac atrium,UBERON:0002079,male,D7,seventh decade human stage,European,CL:0000003,native cell,331
84293,All — Cells of the adult human heart,dd2f4658-d6e1-4d8a-a5f3-b9efed1bd1ca,left cardiac atrium,UBERON:0002079,male,D7,seventh decade human stage,European,CL:0000057,fibroblast,640
84294,All — Cells of the adult human heart,dd2f4658-d6e1-4d8a-a5f3-b9efed1bd1ca,left cardiac atrium,UBERON:0002079,male,D7,seventh decade human stage,European,CL:0000077,mesothelial cell,36
84295,All — Cells of the adult human heart,dd2f4658-d6e1-4d8a-a5f3-b9efed1bd1ca,left cardiac atrium,UBERON:0002079,male,D7,seventh decade human stage,European,CL:0000097,mast cell,14
84296,All — Cells of the adult human heart,dd2f4658-d6e1-4d8a-a5f3-b9efed1bd1ca,left cardiac atrium,UBERON:0002079,male,D7,seventh decade human stage,European,CL:0000115,endothelial cell,287
84297,All — Cells of the adult human heart,dd2f4658-d6e1-4d8a-a5f3-b9efed1bd1ca,left cardiac atrium,UBERON:0002079,male,D7,seventh decade human stage,European,CL:0000192,smooth muscle cell,114
84298,All — Cells of the adult human heart,dd2f4658-d6e1-4d8a-a5f3-b9efed1bd1ca,left cardiac atrium,UBERON:0002079,male,D7,seventh decade human stage,European,CL:0000235,macrophage,356
84299,All — Cells of the adult human heart,dd2f4658-d6e1-4d8a-a5f3-b9efed1bd1ca,left cardiac atrium,UBERON:0002079,male,D7,seventh decade human stage,European,CL:0000236,B cell,55
84300,All — Cells of the adult human heart,dd2f4658-d6e1-4d8a-a5f3-b9efed1bd1ca,left cardiac atrium,UBERON:0002079,male,D7,seventh decade human stage,European,CL:0000451,dendritic cell,55
84301,All — Cells of the adult human heart,dd2f4658-d6e1-4d8a-a5f3-b9efed1bd1ca,left cardiac atrium,UBERON:0002079,male,D7,seventh decade human stage,European,CL:0000576,monocyte,72
84302,All — Cells of the adult human heart,dd2f4658-d6e1-4d8a-a5f3-b9efed1bd1ca,left cardiac atrium,UBERON:0002079,male,D7,seventh decade human stage,European,CL:0000623,natural killer cell,76
84303,All — Cells of the adult human heart,dd2f4658-d6e1-4d8a-a5f3-b9efed1bd1ca,left cardiac atrium,UBERON:0002079,male,D7,seventh decade human stage,European,CL:0000669,pericyte,596
84304,All — Cells of the adult human heart,dd2f4658-d6e1-4d8a-a5f3-b9efed1bd1ca,left cardiac atrium,UBERON:0002079,male,D7,seventh decade human stage,European,CL:0000794,"CD8-positive, alpha-beta cytotoxic T cell",94
84305,All — Cells of the adult human heart,dd2f4658-d6e1-4d8a-a5f3-b9efed1bd1ca,left cardiac atrium,UBERON:0002079,male,D7,seventh decade human stage,European,CL:0000814,mature NK T cell,38
84306,All — Cells of the adult human heart,dd2f4658-d6e1-4d8a-a5f3-b9efed1bd1ca,left cardiac atrium,UBERON:0002079,male,D7,seventh decade human stage,European,CL:0000896,"activated CD4-positive, alpha-beta T cell",20
84307,All — Cells of the adult human heart,dd2f4658-d6e1-4d8a-a5f3-b9efed1bd1ca,left cardiac atrium,UBERON:0002079,male,D7,seventh decade human stage,European,CL:0000906,"activated CD8-positive, alpha-beta T cell",33
84308,All — Cells of the adult human heart,dd2f4658-d6e1-4d8a-a5f3-b9efed1bd1ca,left cardiac atrium,UBERON:0002079,male,D7,seventh decade human stage,European,CL:0000934,"CD4-positive, alpha-beta cytotoxic T cell",105
84309,All — Cells of the adult human heart,dd2f4658-d6e1-4d8a-a5f3-b9efed1bd1ca,left cardiac atrium,UBERON:0002079,male,D7,seventh decade human stage,European,CL:0001054,CD14-positive monocyte,58
84310,All — Cells of the adult human heart,dd2f4658-d6e1-4d8a-a5f3-b9efed1bd1ca,left cardiac atrium,UBERON:0002079,male,D7,seventh decade human stage,European,CL:0002129,regular atrial cardiac myocyte,1325
84311,All — Cells of the adult human heart,dd2f4658-d6e1-4d8a-a5f3-b9efed1bd1ca,left cardiac atrium,UBERON:0002079,male,D7,seventh decade human stage,European,CL:0002138,endothelial cell of lymphatic vessel,13
84312,All — Cells of the adult human heart,dd2f4658-d6e1-4d8a-a5f3-b9efed1bd1ca,left cardiac atrium,UBERON:0002079,male,D7,seventh decade human stage,European,CL:0002144,capillary endothelial cell,502
84313,All — Cells of the adult human heart,dd2f4658-d6e1-4d8a-a5f3-b9efed1bd1ca,left cardiac atrium,UBERON:0002079,male,D7,seventh decade human stage,European,CL:0002319,neural cell,56
84314,All — Cells of the adult human heart,dd2f4658-d6e1-4d8a-a5f3-b9efed1bd1ca,left cardiac atrium,UBERON:0002079,male,D7,seventh decade human stage,European,CL:0002397,"CD14-positive, CD16-positive monocyte",153
84315,All — Cells of the adult human heart,dd2f4658-d6e1-4d8a-a5f3-b9efed1bd1ca,left cardiac atrium,UBERON:0002079,male,D7,seventh decade human stage,European,CL:0002543,vein endothelial cell,125
84316,All — Cells of the adult human heart,dd2f4658-d6e1-4d8a-a5f3-b9efed1bd1ca,left cardiac atrium,UBERON:0002079,male,D7,seventh decade human stage,European,CL:1000309,epicardial adipocyte,45
84317,All — Cells of the adult human heart,dd2f4658-d6e1-4d8a-a5f3-b9efed1bd1ca,left cardiac atrium,UBERON:0002079,male,D7,seventh decade human stage,European,CL:1000413,endothelial cell of artery,200
