,dataset_name,dataset_id,tissue,tissue_ontology_term_id,sex,donor_id,development_stage,ethnicity,cell_type_ontology_id,cell_type,cell_count
83311,All — Cells of the adult human heart,dd2f4658-d6e1-4d8a-a5f3-b9efed1bd1ca,heart left ventricle,UBERON:0002084,male,D3,sixth decade human stage,European,CL:0000003,native cell,1664
83312,All — Cells of the adult human heart,dd2f4658-d6e1-4d8a-a5f3-b9efed1bd1ca,heart left ventricle,UBERON:0002084,male,D3,sixth decade human stage,European,CL:0000057,fibroblast,1303
83313,All — Cells of the adult human heart,dd2f4658-d6e1-4d8a-a5f3-b9efed1bd1ca,heart left ventricle,UBERON:0002084,male,D3,sixth decade human stage,European,CL:0000077,mesothelial cell,1
83314,All — Cells of the adult human heart,dd2f4658-d6e1-4d8a-a5f3-b9efed1bd1ca,heart left ventricle,UBERON:0002084,male,D3,sixth decade human stage,European,CL:0000097,mast cell,23
83315,All — Cells of the adult human heart,dd2f4658-d6e1-4d8a-a5f3-b9efed1bd1ca,heart left ventricle,UBERON:0002084,male,D3,sixth decade human stage,European,CL:0000115,endothelial cell,92
83316,All — Cells of the adult human heart,dd2f4658-d6e1-4d8a-a5f3-b9efed1bd1ca,heart left ventricle,UBERON:0002084,male,D3,sixth decade human stage,European,CL:0000192,smooth muscle cell,73
83317,All — Cells of the adult human heart,dd2f4658-d6e1-4d8a-a5f3-b9efed1bd1ca,heart left ventricle,UBERON:0002084,male,D3,sixth decade human stage,European,CL:0000235,macrophage,425
83318,All — Cells of the adult human heart,dd2f4658-d6e1-4d8a-a5f3-b9efed1bd1ca,heart left ventricle,UBERON:0002084,male,D3,sixth decade human stage,European,CL:0000236,B cell,18
83319,All — Cells of the adult human heart,dd2f4658-d6e1-4d8a-a5f3-b9efed1bd1ca,heart left ventricle,UBERON:0002084,male,D3,sixth decade human stage,European,CL:0000451,dendritic cell,5
83320,All — Cells of the adult human heart,dd2f4658-d6e1-4d8a-a5f3-b9efed1bd1ca,heart left ventricle,UBERON:0002084,male,D3,sixth decade human stage,European,CL:0000576,monocyte,64
83321,All — Cells of the adult human heart,dd2f4658-d6e1-4d8a-a5f3-b9efed1bd1ca,heart left ventricle,UBERON:0002084,male,D3,sixth decade human stage,European,CL:0000623,natural killer cell,3
83322,All — Cells of the adult human heart,dd2f4658-d6e1-4d8a-a5f3-b9efed1bd1ca,heart left ventricle,UBERON:0002084,male,D3,sixth decade human stage,European,CL:0000669,pericyte,1184
83323,All — Cells of the adult human heart,dd2f4658-d6e1-4d8a-a5f3-b9efed1bd1ca,heart left ventricle,UBERON:0002084,male,D3,sixth decade human stage,European,CL:0000794,"CD8-positive, alpha-beta cytotoxic T cell",6
83324,All — Cells of the adult human heart,dd2f4658-d6e1-4d8a-a5f3-b9efed1bd1ca,heart left ventricle,UBERON:0002084,male,D3,sixth decade human stage,European,CL:0000814,mature NK T cell,4
83325,All — Cells of the adult human heart,dd2f4658-d6e1-4d8a-a5f3-b9efed1bd1ca,heart left ventricle,UBERON:0002084,male,D3,sixth decade human stage,European,CL:0000896,"activated CD4-positive, alpha-beta T cell",3
83326,All — Cells of the adult human heart,dd2f4658-d6e1-4d8a-a5f3-b9efed1bd1ca,heart left ventricle,UBERON:0002084,male,D3,sixth decade human stage,European,CL:0000906,"activated CD8-positive, alpha-beta T cell",41
83327,All — Cells of the adult human heart,dd2f4658-d6e1-4d8a-a5f3-b9efed1bd1ca,heart left ventricle,UBERON:0002084,male,D3,sixth decade human stage,European,CL:0000934,"CD4-positive, alpha-beta cytotoxic T cell",60
83328,All — Cells of the adult human heart,dd2f4658-d6e1-4d8a-a5f3-b9efed1bd1ca,heart left ventricle,UBERON:0002084,male,D3,sixth decade human stage,European,CL:0001054,CD14-positive monocyte,30
83329,All — Cells of the adult human heart,dd2f4658-d6e1-4d8a-a5f3-b9efed1bd1ca,heart left ventricle,UBERON:0002084,male,D3,sixth decade human stage,European,CL:0002131,regular ventricular cardiac myocyte,1573
83330,All — Cells of the adult human heart,dd2f4658-d6e1-4d8a-a5f3-b9efed1bd1ca,heart left ventricle,UBERON:0002084,male,D3,sixth decade human stage,European,CL:0002138,endothelial cell of lymphatic vessel,6
83331,All — Cells of the adult human heart,dd2f4658-d6e1-4d8a-a5f3-b9efed1bd1ca,heart left ventricle,UBERON:0002084,male,D3,sixth decade human stage,European,CL:0002144,capillary endothelial cell,649
83332,All — Cells of the adult human heart,dd2f4658-d6e1-4d8a-a5f3-b9efed1bd1ca,heart left ventricle,UBERON:0002084,male,D3,sixth decade human stage,European,CL:0002319,neural cell,28
83333,All — Cells of the adult human heart,dd2f4658-d6e1-4d8a-a5f3-b9efed1bd1ca,heart left ventricle,UBERON:0002084,male,D3,sixth decade human stage,European,CL:0002397,"CD14-positive, CD16-positive monocyte",49
83334,All — Cells of the adult human heart,dd2f4658-d6e1-4d8a-a5f3-b9efed1bd1ca,heart left ventricle,UBERON:0002084,male,D3,sixth decade human stage,European,CL:0002543,vein endothelial cell,200
83335,All — Cells of the adult human heart,dd2f4658-d6e1-4d8a-a5f3-b9efed1bd1ca,heart left ventricle,UBERON:0002084,male,D3,sixth decade human stage,European,CL:1000309,epicardial adipocyte,8
83336,All — Cells of the adult human heart,dd2f4658-d6e1-4d8a-a5f3-b9efed1bd1ca,heart left ventricle,UBERON:0002084,male,D3,sixth decade human stage,European,CL:1000413,endothelial cell of artery,93
