,dataset_name,dataset_id,tissue,tissue_ontology_term_id,sex,donor_id,development_stage,ethnicity,cell_type_ontology_id,cell_type,count,percentage
83699,All — Cells of the adult human heart,dd2f4658-d6e1-4d8a-a5f3-b9efed1bd1ca,heart right ventricle,UBERON:0002080,male,H2,sixth decade human stage,European,CL:0000003,native cell,605,10.846181427034779
83700,All — Cells of the adult human heart,dd2f4658-d6e1-4d8a-a5f3-b9efed1bd1ca,heart right ventricle,UBERON:0002080,male,H2,sixth decade human stage,European,CL:0000057,fibroblast,661,11.850125493008248
83701,All — Cells of the adult human heart,dd2f4658-d6e1-4d8a-a5f3-b9efed1bd1ca,heart right ventricle,UBERON:0002080,male,H2,sixth decade human stage,European,CL:0000097,mast cell,39,0.6991753316600932
83702,All — Cells of the adult human heart,dd2f4658-d6e1-4d8a-a5f3-b9efed1bd1ca,heart right ventricle,UBERON:0002080,male,H2,sixth decade human stage,European,CL:0000115,endothelial cell,64,1.1473646468268197
83703,All — Cells of the adult human heart,dd2f4658-d6e1-4d8a-a5f3-b9efed1bd1ca,heart right ventricle,UBERON:0002080,male,H2,sixth decade human stage,European,CL:0000192,smooth muscle cell,128,2.2947292936536394
83704,All — Cells of the adult human heart,dd2f4658-d6e1-4d8a-a5f3-b9efed1bd1ca,heart right ventricle,UBERON:0002080,male,H2,sixth decade human stage,European,CL:0000235,macrophage,77,1.3804230907135173
83705,All — Cells of the adult human heart,dd2f4658-d6e1-4d8a-a5f3-b9efed1bd1ca,heart right ventricle,UBERON:0002080,male,H2,sixth decade human stage,European,CL:0000236,B cell,6,0.10756543564001435
83706,All — Cells of the adult human heart,dd2f4658-d6e1-4d8a-a5f3-b9efed1bd1ca,heart right ventricle,UBERON:0002080,male,H2,sixth decade human stage,European,CL:0000451,dendritic cell,7,0.12549300824668339
83707,All — Cells of the adult human heart,dd2f4658-d6e1-4d8a-a5f3-b9efed1bd1ca,heart right ventricle,UBERON:0002080,male,H2,sixth decade human stage,European,CL:0000576,monocyte,9,0.16134815346002152
83708,All — Cells of the adult human heart,dd2f4658-d6e1-4d8a-a5f3-b9efed1bd1ca,heart right ventricle,UBERON:0002080,male,H2,sixth decade human stage,European,CL:0000623,natural killer cell,19,0.3406238795267121
83709,All — Cells of the adult human heart,dd2f4658-d6e1-4d8a-a5f3-b9efed1bd1ca,heart right ventricle,UBERON:0002080,male,H2,sixth decade human stage,European,CL:0000669,pericyte,1026,18.39368949444245
83710,All — Cells of the adult human heart,dd2f4658-d6e1-4d8a-a5f3-b9efed1bd1ca,heart right ventricle,UBERON:0002080,male,H2,sixth decade human stage,European,CL:0000794,"CD8-positive, alpha-beta cytotoxic T cell",31,0.5557547508067407
83711,All — Cells of the adult human heart,dd2f4658-d6e1-4d8a-a5f3-b9efed1bd1ca,heart right ventricle,UBERON:0002080,male,H2,sixth decade human stage,European,CL:0000814,mature NK T cell,9,0.16134815346002152
83712,All — Cells of the adult human heart,dd2f4658-d6e1-4d8a-a5f3-b9efed1bd1ca,heart right ventricle,UBERON:0002080,male,H2,sixth decade human stage,European,CL:0000896,"activated CD4-positive, alpha-beta T cell",2,0.035855145213338116
83713,All — Cells of the adult human heart,dd2f4658-d6e1-4d8a-a5f3-b9efed1bd1ca,heart right ventricle,UBERON:0002080,male,H2,sixth decade human stage,European,CL:0000906,"activated CD8-positive, alpha-beta T cell",159,2.85048404446038
83714,All — Cells of the adult human heart,dd2f4658-d6e1-4d8a-a5f3-b9efed1bd1ca,heart right ventricle,UBERON:0002080,male,H2,sixth decade human stage,European,CL:0000934,"CD4-positive, alpha-beta cytotoxic T cell",179,3.209035496593761
83715,All — Cells of the adult human heart,dd2f4658-d6e1-4d8a-a5f3-b9efed1bd1ca,heart right ventricle,UBERON:0002080,male,H2,sixth decade human stage,European,CL:0001054,CD14-positive monocyte,1,0.017927572606669058
83716,All — Cells of the adult human heart,dd2f4658-d6e1-4d8a-a5f3-b9efed1bd1ca,heart right ventricle,UBERON:0002080,male,H2,sixth decade human stage,European,CL:0002131,regular ventricular cardiac myocyte,2130,38.18572965220509
83717,All — Cells of the adult human heart,dd2f4658-d6e1-4d8a-a5f3-b9efed1bd1ca,heart right ventricle,UBERON:0002080,male,H2,sixth decade human stage,European,CL:0002138,endothelial cell of lymphatic vessel,7,0.12549300824668339
83718,All — Cells of the adult human heart,dd2f4658-d6e1-4d8a-a5f3-b9efed1bd1ca,heart right ventricle,UBERON:0002080,male,H2,sixth decade human stage,European,CL:0002144,capillary endothelial cell,190,3.4062387952671207
83719,All — Cells of the adult human heart,dd2f4658-d6e1-4d8a-a5f3-b9efed1bd1ca,heart right ventricle,UBERON:0002080,male,H2,sixth decade human stage,European,CL:0002319,neural cell,47,0.8425959125134457
83720,All — Cells of the adult human heart,dd2f4658-d6e1-4d8a-a5f3-b9efed1bd1ca,heart right ventricle,UBERON:0002080,male,H2,sixth decade human stage,European,CL:0002543,vein endothelial cell,33,0.5916098960200789
83721,All — Cells of the adult human heart,dd2f4658-d6e1-4d8a-a5f3-b9efed1bd1ca,heart right ventricle,UBERON:0002080,male,H2,sixth decade human stage,European,CL:1000309,epicardial adipocyte,110,1.9720329867335962
83722,All — Cells of the adult human heart,dd2f4658-d6e1-4d8a-a5f3-b9efed1bd1ca,heart right ventricle,UBERON:0002080,male,H2,sixth decade human stage,European,CL:1000413,endothelial cell of artery,39,0.6991753316600932
