,dataset_name,dataset_id,tissue,tissue_ontology_term_id,sex,donor_id,development_stage,ethnicity,cell_type_ontology_id,cell_type,count,percentage
84052,All — Cells of the adult human heart,dd2f4658-d6e1-4d8a-a5f3-b9efed1bd1ca,left cardiac atrium,UBERON:0002079,female,D1,sixth decade human stage,European,CL:0000003,native cell,39,3.6551077788191186
84053,All — Cells of the adult human heart,dd2f4658-d6e1-4d8a-a5f3-b9efed1bd1ca,left cardiac atrium,UBERON:0002079,female,D1,sixth decade human stage,European,CL:0000057,fibroblast,355,33.270852858481724
84054,All — Cells of the adult human heart,dd2f4658-d6e1-4d8a-a5f3-b9efed1bd1ca,left cardiac atrium,UBERON:0002079,female,D1,sixth decade human stage,European,CL:0000077,mesothelial cell,1,0.09372071227741331
84055,All — Cells of the adult human heart,dd2f4658-d6e1-4d8a-a5f3-b9efed1bd1ca,left cardiac atrium,UBERON:0002079,female,D1,sixth decade human stage,European,CL:0000115,endothelial cell,22,2.0618556701030926
84056,All — Cells of the adult human heart,dd2f4658-d6e1-4d8a-a5f3-b9efed1bd1ca,left cardiac atrium,UBERON:0002079,female,D1,sixth decade human stage,European,CL:0000192,smooth muscle cell,10,0.937207122774133
84057,All — Cells of the adult human heart,dd2f4658-d6e1-4d8a-a5f3-b9efed1bd1ca,left cardiac atrium,UBERON:0002079,female,D1,sixth decade human stage,European,CL:0000235,macrophage,19,1.7806935332708531
84058,All — Cells of the adult human heart,dd2f4658-d6e1-4d8a-a5f3-b9efed1bd1ca,left cardiac atrium,UBERON:0002079,female,D1,sixth decade human stage,European,CL:0000451,dendritic cell,1,0.09372071227741331
84059,All — Cells of the adult human heart,dd2f4658-d6e1-4d8a-a5f3-b9efed1bd1ca,left cardiac atrium,UBERON:0002079,female,D1,sixth decade human stage,European,CL:0000576,monocyte,1,0.09372071227741331
84060,All — Cells of the adult human heart,dd2f4658-d6e1-4d8a-a5f3-b9efed1bd1ca,left cardiac atrium,UBERON:0002079,female,D1,sixth decade human stage,European,CL:0000669,pericyte,148,13.870665417057172
84061,All — Cells of the adult human heart,dd2f4658-d6e1-4d8a-a5f3-b9efed1bd1ca,left cardiac atrium,UBERON:0002079,female,D1,sixth decade human stage,European,CL:0001054,CD14-positive monocyte,1,0.09372071227741331
84062,All — Cells of the adult human heart,dd2f4658-d6e1-4d8a-a5f3-b9efed1bd1ca,left cardiac atrium,UBERON:0002079,female,D1,sixth decade human stage,European,CL:0002129,regular atrial cardiac myocyte,404,37.86316776007498
84063,All — Cells of the adult human heart,dd2f4658-d6e1-4d8a-a5f3-b9efed1bd1ca,left cardiac atrium,UBERON:0002079,female,D1,sixth decade human stage,European,CL:0002144,capillary endothelial cell,18,1.6869728209934396
84064,All — Cells of the adult human heart,dd2f4658-d6e1-4d8a-a5f3-b9efed1bd1ca,left cardiac atrium,UBERON:0002079,female,D1,sixth decade human stage,European,CL:0002319,neural cell,31,2.9053420805998127
84065,All — Cells of the adult human heart,dd2f4658-d6e1-4d8a-a5f3-b9efed1bd1ca,left cardiac atrium,UBERON:0002079,female,D1,sixth decade human stage,European,CL:0002543,vein endothelial cell,4,0.37488284910965325
84066,All — Cells of the adult human heart,dd2f4658-d6e1-4d8a-a5f3-b9efed1bd1ca,left cardiac atrium,UBERON:0002079,female,D1,sixth decade human stage,European,CL:1000309,epicardial adipocyte,6,0.5623242736644799
84067,All — Cells of the adult human heart,dd2f4658-d6e1-4d8a-a5f3-b9efed1bd1ca,left cardiac atrium,UBERON:0002079,female,D1,sixth decade human stage,European,CL:1000413,endothelial cell of artery,7,0.6560449859418931
