,dataset_name,dataset_id,tissue,tissue_ontology_term_id,sex,donor_id,development_stage,ethnicity,cell_type_ontology_id,cell_type,cell_count
83533,All — Cells of the adult human heart,dd2f4658-d6e1-4d8a-a5f3-b9efed1bd1ca,heart right ventricle,UBERON:0002080,female,H5,sixth decade human stage,European,CL:0000003,native cell,528
83534,All — Cells of the adult human heart,dd2f4658-d6e1-4d8a-a5f3-b9efed1bd1ca,heart right ventricle,UBERON:0002080,female,H5,sixth decade human stage,European,CL:0000057,fibroblast,208
83535,All — Cells of the adult human heart,dd2f4658-d6e1-4d8a-a5f3-b9efed1bd1ca,heart right ventricle,UBERON:0002080,female,H5,sixth decade human stage,European,CL:0000097,mast cell,16
83536,All — Cells of the adult human heart,dd2f4658-d6e1-4d8a-a5f3-b9efed1bd1ca,heart right ventricle,UBERON:0002080,female,H5,sixth decade human stage,European,CL:0000115,endothelial cell,38
83537,All — Cells of the adult human heart,dd2f4658-d6e1-4d8a-a5f3-b9efed1bd1ca,heart right ventricle,UBERON:0002080,female,H5,sixth decade human stage,European,CL:0000192,smooth muscle cell,163
83538,All — Cells of the adult human heart,dd2f4658-d6e1-4d8a-a5f3-b9efed1bd1ca,heart right ventricle,UBERON:0002080,female,H5,sixth decade human stage,European,CL:0000235,macrophage,20
83539,All — Cells of the adult human heart,dd2f4658-d6e1-4d8a-a5f3-b9efed1bd1ca,heart right ventricle,UBERON:0002080,female,H5,sixth decade human stage,European,CL:0000451,dendritic cell,4
83540,All — Cells of the adult human heart,dd2f4658-d6e1-4d8a-a5f3-b9efed1bd1ca,heart right ventricle,UBERON:0002080,female,H5,sixth decade human stage,European,CL:0000576,monocyte,3
83541,All — Cells of the adult human heart,dd2f4658-d6e1-4d8a-a5f3-b9efed1bd1ca,heart right ventricle,UBERON:0002080,female,H5,sixth decade human stage,European,CL:0000623,natural killer cell,7
83542,All — Cells of the adult human heart,dd2f4658-d6e1-4d8a-a5f3-b9efed1bd1ca,heart right ventricle,UBERON:0002080,female,H5,sixth decade human stage,European,CL:0000669,pericyte,1267
83543,All — Cells of the adult human heart,dd2f4658-d6e1-4d8a-a5f3-b9efed1bd1ca,heart right ventricle,UBERON:0002080,female,H5,sixth decade human stage,European,CL:0000794,"CD8-positive, alpha-beta cytotoxic T cell",3
83544,All — Cells of the adult human heart,dd2f4658-d6e1-4d8a-a5f3-b9efed1bd1ca,heart right ventricle,UBERON:0002080,female,H5,sixth decade human stage,European,CL:0000814,mature NK T cell,3
83545,All — Cells of the adult human heart,dd2f4658-d6e1-4d8a-a5f3-b9efed1bd1ca,heart right ventricle,UBERON:0002080,female,H5,sixth decade human stage,European,CL:0000906,"activated CD8-positive, alpha-beta T cell",4
83546,All — Cells of the adult human heart,dd2f4658-d6e1-4d8a-a5f3-b9efed1bd1ca,heart right ventricle,UBERON:0002080,female,H5,sixth decade human stage,European,CL:0000934,"CD4-positive, alpha-beta cytotoxic T cell",4
83547,All — Cells of the adult human heart,dd2f4658-d6e1-4d8a-a5f3-b9efed1bd1ca,heart right ventricle,UBERON:0002080,female,H5,sixth decade human stage,European,CL:0001054,CD14-positive monocyte,1
83548,All — Cells of the adult human heart,dd2f4658-d6e1-4d8a-a5f3-b9efed1bd1ca,heart right ventricle,UBERON:0002080,female,H5,sixth decade human stage,European,CL:0002131,regular ventricular cardiac myocyte,4437
83549,All — Cells of the adult human heart,dd2f4658-d6e1-4d8a-a5f3-b9efed1bd1ca,heart right ventricle,UBERON:0002080,female,H5,sixth decade human stage,European,CL:0002138,endothelial cell of lymphatic vessel,3
83550,All — Cells of the adult human heart,dd2f4658-d6e1-4d8a-a5f3-b9efed1bd1ca,heart right ventricle,UBERON:0002080,female,H5,sixth decade human stage,European,CL:0002144,capillary endothelial cell,174
83551,All — Cells of the adult human heart,dd2f4658-d6e1-4d8a-a5f3-b9efed1bd1ca,heart right ventricle,UBERON:0002080,female,H5,sixth decade human stage,European,CL:0002319,neural cell,33
83552,All — Cells of the adult human heart,dd2f4658-d6e1-4d8a-a5f3-b9efed1bd1ca,heart right ventricle,UBERON:0002080,female,H5,sixth decade human stage,European,CL:0002543,vein endothelial cell,22
83553,All — Cells of the adult human heart,dd2f4658-d6e1-4d8a-a5f3-b9efed1bd1ca,heart right ventricle,UBERON:0002080,female,H5,sixth decade human stage,European,CL:1000309,epicardial adipocyte,1
83554,All — Cells of the adult human heart,dd2f4658-d6e1-4d8a-a5f3-b9efed1bd1ca,heart right ventricle,UBERON:0002080,female,H5,sixth decade human stage,European,CL:1000413,endothelial cell of artery,28
