,dataset_name,dataset_id,tissue,tissue_ontology_term_id,sex,donor_id,development_stage,ethnicity,cell_type_ontology_id,cell_type,count,percentage
83001,All — Cells of the adult human heart,dd2f4658-d6e1-4d8a-a5f3-b9efed1bd1ca,apex of heart,UBERON:0002098,male,D6,eighth decade human stage,European,CL:0000003,native cell,1235,6.2978072412034685
83002,All — Cells of the adult human heart,dd2f4658-d6e1-4d8a-a5f3-b9efed1bd1ca,apex of heart,UBERON:0002098,male,D6,eighth decade human stage,European,CL:0000057,fibroblast,499,2.544620091789903
83003,All — Cells of the adult human heart,dd2f4658-d6e1-4d8a-a5f3-b9efed1bd1ca,apex of heart,UBERON:0002098,male,D6,eighth decade human stage,European,CL:0000077,mesothelial cell,2,0.010198878123406425
83004,All — Cells of the adult human heart,dd2f4658-d6e1-4d8a-a5f3-b9efed1bd1ca,apex of heart,UBERON:0002098,male,D6,eighth decade human stage,European,CL:0000097,mast cell,1,0.005099439061703213
83005,All — Cells of the adult human heart,dd2f4658-d6e1-4d8a-a5f3-b9efed1bd1ca,apex of heart,UBERON:0002098,male,D6,eighth decade human stage,European,CL:0000115,endothelial cell,495,2.52422233554309
83006,All — Cells of the adult human heart,dd2f4658-d6e1-4d8a-a5f3-b9efed1bd1ca,apex of heart,UBERON:0002098,male,D6,eighth decade human stage,European,CL:0000192,smooth muscle cell,934,4.7628760836308
83007,All — Cells of the adult human heart,dd2f4658-d6e1-4d8a-a5f3-b9efed1bd1ca,apex of heart,UBERON:0002098,male,D6,eighth decade human stage,European,CL:0000235,macrophage,622,3.171851096379398
83008,All — Cells of the adult human heart,dd2f4658-d6e1-4d8a-a5f3-b9efed1bd1ca,apex of heart,UBERON:0002098,male,D6,eighth decade human stage,European,CL:0000236,B cell,52,0.26517083120856705
83009,All — Cells of the adult human heart,dd2f4658-d6e1-4d8a-a5f3-b9efed1bd1ca,apex of heart,UBERON:0002098,male,D6,eighth decade human stage,European,CL:0000451,dendritic cell,7,0.035696073431922486
83010,All — Cells of the adult human heart,dd2f4658-d6e1-4d8a-a5f3-b9efed1bd1ca,apex of heart,UBERON:0002098,male,D6,eighth decade human stage,European,CL:0000576,monocyte,86,0.4385517593064763
