"cell_type","sex","age","count","percentage"
"Adipocyte","Female","61-70","29","0.248437"
"Endothelial cell","Female","61-70","2879","24.663754"
"Fibroblast","Female","61-70","2990","25.614666"
"Glia","Female","61-70","117","1.002313"
"Immune (lymphocyte)","Female","61-70","42","0.359805"
"Immune (myeloid)","Female","61-70","732","6.270882"
"Muscle","Female","61-70","4884","41.840144"
