"cell_type","sex","age","count","percentage"
"Adipocyte","Male","61-70","51","0.42264"
"Endothelial cell","Male","61-70","2173","18.00779"
"Fibroblast","Male","61-70","2806","23.253501"
"Glia","Male","61-70","95","0.787271"
"Immune (lymphocyte)","Male","61-70","304","2.519267"
"Immune (myeloid)","Male","61-70","3459","28.664954"
"Muscle","Male","61-70","3179","26.344576"
