"cell_type","sex","age","count","percentage"
"Adipocyte","Female","41-50","113","0.880474"
"Endothelial cell","Female","41-50","2583","20.126227"
"Fibroblast","Female","41-50","3491","27.201184"
"Glia","Female","41-50","86","0.670095"
"Immune (lymphocyte)","Female","41-50","352","2.742715"
"Immune (myeloid)","Female","41-50","2208","17.204301"
"Muscle","Female","41-50","4001","31.175004"
