"cell_type","count","percentage","cat","sex","exp","age","y_pos"
"CD68 
/ Macrophage","190","9.443339","old / sun","m","sun","60","1075.333"
"T-Killer","22","1.093439","old / sun","m","sun","60",""
"T-reg","73","3.62823","old / sun","m","sun","60",""
"T-helper","1727","85.83499","old / sun","m","sun","60",""
