"cell_type","count","percentage","cat","sex","exp","age","y_pos"
"CD68 
/ Macrophage","76","6.109324","young / sun","f","sun","22","1330.214"
"T-Killer","47","3.778135","young / sun","f","sun","22",""
"T-reg","63","5.064308","young / sun","f","sun","22",""
"T-helper","1058","85.048231","young / sun","f","sun","22",""
