"cell_type","count","percentage","cat","sex","exp","age","y_pos"
"CD68 
/ Macrophage","106","11.434735","old / non","f","non","53","312.117"
"T-Killer","13","1.402373","old / non","f","non","53",""
"T-reg","85","9.169363","old / non","f","non","53",""
"T-helper","723","77.993527","old / non","f","non","53",""
