"cell_type","sex","age","count","percentage"
"Adipocyte","Female","41-50","97","0.77569"
"Endothelial cell","Female","41-50","607","4.854058"
"Fibroblast","Female","41-50","2869","22.942823"
"Glia","Female","41-50","18","0.143942"
"Immune (lymphocyte)","Female","41-50","35","0.279888"
"Immune (myeloid)","Female","41-50","277","2.215114"
"Muscle","Female","41-50","8602","68.788485"
